date,cash,positions_value,total_value,num_positions,daily_return,peak,drawdown,month,year
2023-07-11,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-12,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-13,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-14,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-17,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-18,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-19,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-20,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-21,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-24,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-25,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-26,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-27,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-28,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-31,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-08-01,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-02,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-03,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-04,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-07,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-08,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-09,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-10,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-11,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-14,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-15,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-16,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-17,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-18,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-21,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-22,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-23,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-24,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-25,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-28,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-29,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-30,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-31,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-09-01,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-04,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-05,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-06,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-07,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-08,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-11,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-12,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-13,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-14,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-15,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-18,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-19,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-20,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-21,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-22,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-25,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-26,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-27,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-28,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-29,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-10-02,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-03,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-04,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-05,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-06,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-09,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-10,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-11,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-12,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-13,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-16,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-17,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-18,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-19,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-20,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-23,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-24,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-25,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-26,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-27,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-30,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-31,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-11-01,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-02,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-03,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-06,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-07,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-08,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-09,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-10,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-13,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-14,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-15,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-16,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
